Year,Val
2017-02,1.12
2018-02,0.81
1880-03,-0.11
1881-03,0.04
1882-03,0.04
1883-03,-0.13
1884-03,-0.37
1885-03,-0.25
1886-03,-0.38
1887-03,-0.33
1888-03,-0.41
1889-03,0.08
1890-03,-0.39
1891-03,-0.19
1892-03,-0.35
1893-03,-0.23
1894-03,-0.25
1895-03,-0.28
1896-03,-0.25
1897-03,-0.13
1898-03,-0.51
1899-03,-0.34
1900-03,0.02
1901-03,0.08
1902-03,-0.29
1903-03,-0.23
1904-03,-0.51
1905-03,-0.22
1906-03,-0.16
1907-03,-0.27
1908-03,-0.53
1909-03,-0.51
1910-03,-0.5
1911-03,-0.6
1912-03,-0.35
1913-03,-0.43
1914-03,-0.22
1915-03,-0.09
1916-03,-0.28
1917-03,-0.6
1918-03,-0.24
1919-03,-0.19
1920-03,-0.07
1921-03,-0.22
1922-03,-0.12
1923-03,-0.34
1924-03,-0.06
1925-03,-0.24
1926-03,0.12
1927-03,-0.36
1928-03,-0.26
1929-03,-0.31
1930-03,-0.08
1931-03,-0.07
1932-03,-0.19
1933-03,-0.3
1934-03,-0.33
1935-03,-0.13
1936-03,-0.22
1937-03,-0.18
1938-03,0.07
1939-03,-0.2
1940-03,0.15
1941-03,0.08
1942-03,0.09
1943-03,-0.08
1944-03,0.26
1945-03,0.06
1946-03,0
1947-03,0.07
1948-03,-0.25
1949-03,-0.02
1950-03,-0.07
1951-03,-0.21
1952-03,-0.1
1953-03,0.11
1954-03,-0.15
1955-03,-0.35
1956-03,-0.23
1957-03,-0.06
1958-03,0.11
1959-03,0.18
1960-03,-0.34
1961-03,0.09
1962-03,0.12
1963-03,-0.14
1964-03,-0.23
1965-03,-0.11
1966-03,0.05
1967-03,0.04
1968-03,0.21
1969-03,0.01
1970-03,0.08
1971-03,-0.17
1972-03,0.02
1973-03,0.27
1974-03,-0.06
1975-03,0.13
1976-03,-0.21
1977-03,0.25
1978-03,0.21
1979-03,0.18
1980-03,0.3
1981-03,0.49
1982-03,-0.01
1983-03,0.42
1984-03,0.29
1985-03,0.17
1986-03,0.27
1987-03,0.16
1988-03,0.51
1989-03,0.37
1990-03,0.76
1991-03,0.35
1992-03,0.47
1993-03,0.36
1994-03,0.26
1995-03,0.45
1996-03,0.32
1997-03,0.53
1998-03,0.63
1999-03,0.34
2000-03,0.57
2001-03,0.56
2002-03,0.9
2003-03,0.58
2004-03,0.64
2005-03,0.68
2006-03,0.61
2007-03,0.68
2008-03,0.73
2009-03,0.52
2010-03,0.92
2011-03,0.62
2012-03,0.56
2013-03,0.66
2014-03,0.76
2015-03,0.9
2016-03,1.31
2017-03,1.12
2018-03,0.91
1880-04,-0.19
1881-04,0.04
1882-04,-0.19
1883-04,-0.17
1884-04,-0.42
1885-04,-0.42
1886-04,-0.28
1887-04,-0.38
1888-04,-0.22
1889-04,0.08
1890-04,-0.36
1891-04,-0.28
1892-04,-0.34
1893-04,-0.29
1894-04,-0.47
1895-04,-0.24
1896-04,-0.3
1897-04,-0.02
1898-04,-0.33
1899-04,-0.2
1900-04,-0.12
1901-04,-0.03
1902-04,-0.31
1903-04,-0.43
1904-04,-0.54
1905-04,-0.36
1906-04,-0.04
1907-04,-0.38
1908-04,-0.45
1909-04,-0.6
1910-04,-0.4
1911-04,-0.53
1912-04,-0.2
1913-04,-0.39
1914-04,-0.29
1915-04,0.06
1916-04,-0.3
1917-04,-0.5
1918-04,-0.45
1919-04,-0.12
1920-04,-0.25
1921-04,-0.29
1922-04,-0.23
1923-04,-0.39
1924-04,-0.31
1925-04,-0.24
1926-04,-0.12
1927-04,-0.3
1928-04,-0.27
1929-04,-0.39
1930-04,-0.24
1931-04,-0.21
1932-04,-0.06
1933-04,-0.25
1934-04,-0.3
1935-04,-0.36
1936-04,-0.2
1937-04,-0.17
1938-04,0.04
1939-04,-0.1
1940-04,0.18
1941-04,0.17
1942-04,0.1
1943-04,0.07
1944-04,0.19
1945-04,0.18
1946-04,0.06
1947-04,0.07
1948-04,-0.11
1949-04,-0.1
1950-04,-0.2
1951-04,-0.13
1952-04,0.02
1953-04,0.18
1954-04,-0.16
1955-04,-0.22
1956-04,-0.27
1957-04,-0.01
1958-04,0.03
1959-04,0.13
1960-04,-0.14
1961-04,0.12
1962-04,0.04
1963-04,-0.06
1964-04,-0.31
1965-04,-0.19
1966-04,-0.12
1967-04,-0.05
1968-04,-0.05
1969-04,0.18
1970-04,0.09
1971-04,-0.08
1972-04,0
1973-04,0.26
1974-04,-0.12
1975-04,0.05
1976-04,-0.08
1977-04,0.27
1978-04,0.15
1979-04,0.13
1980-04,0.33
1981-04,0.31
1982-04,0.09
1983-04,0.31
1984-04,0.08
1985-04,0.11
1986-04,0.24
1987-04,0.22
1988-04,0.45
1989-04,0.33
1990-04,0.55
1991-04,0.52
1992-04,0.23
1993-04,0.27
1994-04,0.4
1995-04,0.47
1996-04,0.36
1997-04,0.36
1998-04,0.63
1999-04,0.32
2000-04,0.57
2001-04,0.51
2002-04,0.56
2003-04,0.53
2004-04,0.62
2005-04,0.67
2006-04,0.49
2007-04,0.73
2008-04,0.51
2009-04,0.58
2010-04,0.85
2011-04,0.62
2012-04,0.68
2013-04,0.53
2014-04,0.77
2015-04,0.74
2016-04,1.08
2017-04,0.92
2018-04,0.87
1880-05,-0.11
1881-05,0.02
1882-05,-0.16
1883-05,-0.2
1884-05,-0.36
1885-05,-0.42
1886-05,-0.26
1887-05,-0.32
1888-05,-0.21
1889-05,-0.02
1890-05,-0.45
1891-05,-0.18
1892-05,-0.24
1893-05,-0.35
1894-05,-0.35
1895-05,-0.26
1896-05,-0.18
1897-05,-0.05
1898-05,-0.32
1899-05,-0.23
1900-05,-0.1
1901-05,-0.16
1902-05,-0.36
1903-05,-0.45
1904-05,-0.55
1905-05,-0.33
1906-05,-0.24
1907-05,-0.47
1908-05,-0.41
1909-05,-0.56
1910-05,-0.34
1911-05,-0.51
1912-05,-0.22
1913-05,-0.47
1914-05,-0.23
1915-05,-0.06
1916-05,-0.32
1917-05,-0.55
1918-05,-0.45
1919-05,-0.27
1920-05,-0.26
1921-05,-0.28
1922-05,-0.33
1923-05,-0.34
1924-05,-0.18
1925-05,-0.3
1926-05,-0.21
1927-05,-0.24
1928-05,-0.29
1929-05,-0.38
1930-05,-0.23
1931-05,-0.19
1932-05,-0.19
1933-05,-0.29
1934-05,-0.11
1935-05,-0.3
1936-05,-0.18
1937-05,-0.08
1938-05,-0.1
1939-05,-0.06
1940-05,0.09
1941-05,0.14
1942-05,0.09
1943-05,0.04
1944-05,0.19
1945-05,0.04
1946-05,-0.08
1947-05,-0.04
1948-05,0.01
1949-05,-0.08
1950-05,-0.1
1951-05,0
1952-05,-0.02
1953-05,0.09
1954-05,-0.22
1955-05,-0.21
1956-05,-0.31
1957-05,0.09
1958-05,0.06
1959-05,0.04
1960-05,-0.07
1961-05,0.11
1962-05,-0.04
1963-05,-0.04
1964-05,-0.24
1965-05,-0.14
1966-05,-0.11
1967-05,0.15
1968-05,-0.13
1969-05,0.19
1970-05,-0.04
1971-05,-0.05
1972-05,-0.04
1973-05,0.25
1974-05,-0.02
1975-05,0.16
1976-05,-0.24
1977-05,0.3
1978-05,0.06
1979-05,0.05
1980-05,0.36
1981-05,0.24
1982-05,0.15
1983-05,0.36
1984-05,0.33
1985-05,0.17
1986-05,0.24
1987-05,0.25
1988-05,0.43
1989-05,0.16
1990-05,0.46
1991-05,0.37
1992-05,0.32
1993-05,0.27
1994-05,0.28
1995-05,0.26
1996-05,0.27
1997-05,0.36
1998-05,0.69
1999-05,0.31
2000-05,0.36
2001-05,0.57
2002-05,0.64
2003-05,0.61
2004-05,0.38
2005-05,0.63
2006-05,0.46
2007-05,0.66
2008-05,0.47
2009-05,0.64
2010-05,0.73
2011-05,0.51
2012-05,0.74
2013-05,0.58
2014-05,0.85
2015-05,0.75
2016-05,0.91
2017-05,0.89
2018-05,0.82
1880-06,-0.23
1881-06,-0.2
1882-06,-0.26
1883-06,-0.12
1884-06,-0.4
1885-06,-0.44
1886-06,-0.39
1887-06,-0.23
1888-06,-0.18
1889-06,-0.13
1890-06,-0.26
1891-06,-0.2
1892-06,-0.22
1893-06,-0.27
1894-06,-0.44
1895-06,-0.23
1896-06,-0.14
1897-06,-0.16
1898-06,-0.2
1899-06,-0.33
1900-06,-0.12
1901-06,-0.12
1902-06,-0.35
1903-06,-0.46
1904-06,-0.51
1905-06,-0.3
1906-06,-0.21
1907-06,-0.43
1908-06,-0.41
1909-06,-0.52
1910-06,-0.37
1911-06,-0.47
1912-06,-0.26
1913-06,-0.48
1914-06,-0.26
1915-06,-0.2
1916-06,-0.46
1917-06,-0.43
1918-06,-0.35
1919-06,-0.36
1920-06,-0.35
1921-06,-0.27
1922-06,-0.32
1923-06,-0.25
1924-06,-0.22
1925-06,-0.32
1926-06,-0.22
1927-06,-0.25
1928-06,-0.37
1929-06,-0.4
1930-06,-0.2
1931-06,-0.07
1932-06,-0.3
1933-06,-0.33
1934-06,-0.15
1935-06,-0.27
1936-06,-0.21
1937-06,-0.05
1938-06,-0.18
1939-06,-0.08
1940-06,0.08
1941-06,0.11
1942-06,0.04
1943-06,-0.06
1944-06,0.2
1945-06,-0.01
1946-06,-0.21
1947-06,0.02
1948-06,-0.04
1949-06,-0.23
1950-06,-0.03
1951-06,-0.02
1952-06,-0.04
1953-06,0.1
1954-06,-0.17
1955-06,-0.12
1956-06,-0.16
1957-06,0.16
1958-06,-0.08
1959-06,0.02
1960-06,-0.04
1961-06,0.11
1962-06,0.05
1963-06,0.05
1964-06,-0.02
1965-06,-0.09
1966-06,0.01
1967-06,-0.08
1968-06,-0.07
1969-06,0.05
1970-06,-0.02
1971-06,-0.19
1972-06,0.06
1973-06,0.18
1974-06,-0.06
1975-06,0
1976-06,-0.16
1977-06,0.24
1978-06,-0.02
1979-06,0.13
1980-06,0.17
1981-06,0.32
1982-06,0.05
1983-06,0.2
1984-06,0.05
1985-06,0.18
1986-06,0.11
1987-06,0.37
1988-06,0.43
1989-06,0.14
1990-06,0.38
1991-06,0.53
1992-06,0.26
1993-06,0.25
1994-06,0.43
1995-06,0.41
1996-06,0.25
1997-06,0.53
1998-06,0.77
1999-06,0.37
2000-06,0.41
2001-06,0.54
2002-06,0.55
2003-06,0.48
2004-06,0.43
2005-06,0.66
2006-06,0.64
2007-06,0.59
2008-06,0.45
2009-06,0.65
2010-06,0.62
2011-06,0.57
2012-06,0.63
2013-06,0.66
2014-06,0.67
2015-06,0.79
2016-06,0.77
2017-06,0.71
2018-06,0.75
1880-07,-0.2
1881-07,-0.06
1882-07,-0.21
1883-07,-0.08
1884-07,-0.34
1885-07,-0.35
1886-07,-0.22
1887-07,-0.23
1888-07,-0.09
1889-07,-0.09
1890-07,-0.26
1891-07,-0.2
1892-07,-0.32
1893-07,-0.15
1894-07,-0.26
1895-07,-0.17
1896-07,-0.03
1897-07,-0.07
1898-07,-0.24
1899-07,-0.17
1900-07,-0.12
1901-07,-0.15
1902-07,-0.29
1903-07,-0.38
1904-07,-0.53
1905-07,-0.29
1906-07,-0.25
1907-07,-0.36
1908-07,-0.39
1909-07,-0.44
1910-07,-0.34
1911-07,-0.41
1912-07,-0.44
1913-07,-0.36
1914-07,-0.24
1915-07,-0.1
1916-07,-0.36
1917-07,-0.25
1918-07,-0.31
1919-07,-0.28
1920-07,-0.3
1921-07,-0.14
1922-07,-0.24
1923-07,-0.29
1924-07,-0.25
1925-07,-0.27
1926-07,-0.23
1927-07,-0.15
1928-07,-0.18
1929-07,-0.32
1930-07,-0.19
1931-07,-0.02
1932-07,-0.24
1933-07,-0.21
1934-07,-0.1
1935-07,-0.23
1936-07,-0.09
1937-07,-0.05
1938-07,-0.1
1939-07,-0.08
1940-07,0.12
1941-07,0.21
1942-07,0
1943-07,0.08
1944-07,0.18
1945-07,0.02
1946-07,-0.14
1947-07,-0.08
1948-07,-0.12
1949-07,-0.14
1950-07,-0.1
1951-07,0.03
1952-07,0.04
1953-07,0
1954-07,-0.19
1955-07,-0.13
1956-07,-0.12
1957-07,0.01
1958-07,0.05
1959-07,0.06
1960-07,-0.03
1961-07,0
1962-07,0.02
1963-07,0.08
1964-07,-0.03
1965-07,-0.12
1966-07,0.09
1967-07,0.01
1968-07,-0.12
1969-07,-0.02
1970-07,-0.02
1971-07,-0.11
1972-07,0.01
1973-07,0.1
1974-07,-0.05
1975-07,-0.01
1976-07,-0.1
1977-07,0.2
1978-07,0.03
1979-07,0.02
1980-07,0.28
1981-07,0.34
1982-07,0.13
1983-07,0.17
1984-07,0.17
1985-07,-0.01
1986-07,0.11
1987-07,0.45
1988-07,0.34
1989-07,0.33
1990-07,0.43
1991-07,0.47
1992-07,0.12
1993-07,0.28
1994-07,0.31
1995-07,0.47
1996-07,0.36
1997-07,0.35
1998-07,0.68
1999-07,0.37
2000-07,0.39
2001-07,0.6
2002-07,0.61
2003-07,0.53
2004-07,0.24
2005-07,0.64
2006-07,0.52
2007-07,0.6
2008-07,0.59
2009-07,0.7
2010-07,0.59
2011-07,0.7
2012-07,0.54
2013-07,0.57
2014-07,0.56
2015-07,0.71
2016-07,0.82
2017-07,0.81
2018-07,0.78
1880-08,-0.09
1881-08,-0.02
1882-08,-0.05
1883-08,-0.15
1884-08,-0.26
1885-08,-0.31
1886-08,-0.33
1887-08,-0.31
1888-08,-0.15
1889-08,-0.19
1890-08,-0.37
1891-08,-0.16
1892-08,-0.24
1893-08,-0.26
1894-08,-0.22
1895-08,-0.15
1896-08,-0.03
1897-08,-0.1
1898-08,-0.25
1899-08,-0.06
1900-08,-0.1
1901-08,-0.2
1902-08,-0.33
1903-08,-0.48
1904-08,-0.5
1905-08,-0.22
1906-08,-0.2
1907-08,-0.35
1908-08,-0.46
1909-08,-0.3
1910-08,-0.35
1911-08,-0.41
1912-08,-0.54
1913-08,-0.33
1914-08,-0.14
1915-08,-0.19
1916-08,-0.25
1917-08,-0.21
1918-08,-0.29
1919-08,-0.31
1920-08,-0.23
1921-08,-0.23
1922-08,-0.3
1923-08,-0.29
1924-08,-0.33
1925-08,-0.15
1926-08,-0.12
1927-08,-0.2
1928-08,-0.21
1929-08,-0.29
1930-08,-0.12
1931-08,-0.03
1932-08,-0.23
1933-08,-0.24
1934-08,-0.11
1935-08,-0.22
1936-08,-0.14
1937-08,0.01
1938-08,-0.06
1939-08,-0.08
1940-08,0.04
1941-08,0.14
1942-08,-0.04
1943-08,0
1944-08,0.17
1945-08,0.26
1946-08,-0.17
1947-08,-0.09
1948-08,-0.12
1949-08,-0.11
1950-08,-0.16
1951-08,0.06
1952-08,0.04
1953-08,0.06
1954-08,-0.16
1955-08,0.01
1956-08,-0.26
1957-08,0.15
1958-08,-0.04
1959-08,-0.02
1960-08,0.01
1961-08,0.03
1962-08,-0.01
1963-08,0.27
1964-08,-0.21
1965-08,-0.03
1966-08,-0.08
1967-08,0.01
1968-08,-0.09
1969-08,0.03
1970-08,-0.09
1971-08,-0.03
1972-08,0.17
1973-08,0.03
1974-08,0.11
1975-08,-0.19
1976-08,-0.15
1977-08,0.16
1978-08,-0.18
1979-08,0.14
1980-08,0.23
1981-08,0.32
1982-08,0.07
1983-08,0.33
1984-08,0.16
1985-08,0.14
1986-08,0.12
1987-08,0.28
1988-08,0.47
1989-08,0.37
1990-08,0.3
1991-08,0.39
1992-08,0.07
1993-08,0.13
1994-08,0.21
1995-08,0.46
1996-08,0.48
1997-08,0.41
1998-08,0.66
1999-08,0.31
2000-08,0.42
2001-08,0.48
2002-08,0.53
2003-08,0.65
2004-08,0.44
2005-08,0.61
2006-08,0.7
2007-08,0.57
2008-08,0.43
2009-08,0.66
2010-08,0.63
2011-08,0.71
2012-08,0.61
2013-08,0.66
2014-08,0.8
2015-08,0.79
2016-08,1
2017-08,0.87
2018-08,0.77
1880-09,-0.15
1881-09,-0.13
1882-09,-0.1
1883-09,-0.2
1884-09,-0.27
1885-09,-0.23
1886-09,-0.25
1887-09,-0.22
1888-09,-0.09
1889-09,-0.21
1890-09,-0.39
1891-09,-0.13
1892-09,-0.12
1893-09,-0.2
1894-09,-0.24
1895-09,-0.08
1896-09,-0.03
1897-09,-0.07
1898-09,-0.21
1899-09,-0.02
1900-09,-0.04
1901-09,-0.22
1902-09,-0.29
1903-09,-0.48
1904-09,-0.52
1905-09,-0.18
1906-09,-0.27
1907-09,-0.33
1908-09,-0.35
1909-09,-0.35
1910-09,-0.36
1911-09,-0.37
1912-09,-0.51
1913-09,-0.35
1914-09,-0.13
1915-09,-0.16
1916-09,-0.31
1917-09,-0.17
1918-09,-0.14
1919-09,-0.21
1920-09,-0.18
1921-09,-0.16
1922-09,-0.31
1923-09,-0.27
1924-09,-0.3
1925-09,-0.15
1926-09,-0.12
1927-09,-0.1
1928-09,-0.18
1929-09,-0.22
1930-09,-0.12
1931-09,-0.06
1932-09,-0.11
1933-09,-0.27
1934-09,-0.16
1935-09,-0.21
1936-09,-0.1
1937-09,0.11
1938-09,0.02
1939-09,-0.07
1940-09,0.13
1941-09,0.02
1942-09,-0.05
1943-09,0.06
1944-09,0.29
1945-09,0.22
1946-09,-0.07
1947-09,-0.13
1948-09,-0.11
1949-09,-0.14
1950-09,-0.12
1951-09,0.09
1952-09,0.07
1953-09,0.04
1954-09,-0.1
1955-09,-0.11
1956-09,-0.2
1957-09,0.09
1958-09,-0.02
1959-09,-0.06
1960-09,0.07
1961-09,0.07
1962-09,0.01
1963-09,0.2
1964-09,-0.29
1965-09,-0.16
1966-09,-0.02
1967-09,-0.06
1968-09,-0.18
1969-09,0.09
1970-09,0.11
1971-09,-0.04
1972-09,0.02
1973-09,0.1
1974-09,-0.11
1975-09,-0.03
1976-09,-0.09
1977-09,0
1978-09,0.05
1979-09,0.25
1980-09,0.19
1981-09,0.17
1982-09,0.14
1983-09,0.39
1984-09,0.21
1985-09,0.15
1986-09,0
1987-09,0.39
1988-09,0.41
1989-09,0.37
1990-09,0.29
1991-09,0.48
1992-09,0
1993-09,0.1
1994-09,0.29
1995-09,0.33
1996-09,0.25
1997-09,0.53
1998-09,0.41
1999-09,0.41
2000-09,0.41
2001-09,0.54
2002-09,0.63
2003-09,0.65
2004-09,0.5
2005-09,0.75
2006-09,0.62
2007-09,0.6
2008-09,0.63
2009-09,0.67
2010-09,0.59
2011-09,0.53
2012-09,0.72
2013-09,0.77
2014-09,0.88
2015-09,0.82
2016-09,0.88
2017-09,0.76
2018-09,***
1880-10,-0.23
1881-10,-0.21
1882-10,-0.25
1883-10,-0.14
1884-10,-0.24
1885-10,-0.19
1886-10,-0.28
1887-10,-0.32
1888-10,0.02
1889-10,-0.22
1890-10,-0.24
1891-10,-0.21
1892-10,-0.12
1893-10,-0.16
1894-10,-0.2
1895-10,-0.08
1896-10,0.12
1897-10,-0.12
1898-10,-0.33
1899-10,-0.05
1900-10,0.09
1901-10,-0.31
1902-10,-0.31
1903-10,-0.48
1904-10,-0.4
1905-10,-0.25
1906-10,-0.19
1907-10,-0.24
1908-10,-0.44
1909-10,-0.36
1910-10,-0.38
1911-10,-0.23
1912-10,-0.56
1913-10,-0.33
1914-10,-0.04
1915-10,-0.24
1916-10,-0.27
1917-10,-0.4
1918-10,-0.05
1919-10,-0.18
1920-10,-0.26
1921-10,-0.02
1922-10,-0.31
1923-10,-0.11
1924-10,-0.33
1925-10,-0.17
1926-10,-0.09
1927-10,0
1928-10,-0.16
1929-10,-0.12
1930-10,-0.08
1931-10,0.02
1932-10,-0.11
1933-10,-0.21
1934-10,-0.08
1935-10,-0.08
1936-10,-0.04
1937-10,0.08
1938-10,0.11
1939-10,-0.03
1940-10,0.07
1941-10,0.33
1942-10,-0.01
1943-10,0.22
1944-10,0.26
1945-10,0.18
1946-10,-0.06
1947-10,0.05
1948-10,-0.07
1949-10,-0.06
1950-10,-0.22
1951-10,0.05
1952-10,0
1953-10,0.06
1954-10,-0.04
1955-10,-0.05
1956-10,-0.24
1957-10,0.01
1958-10,0.04
1959-10,-0.09
1960-10,0.07
1961-10,0
1962-10,0
1963-10,0.15
1964-10,-0.31
1965-10,-0.05
1966-10,-0.15
1967-10,0.09
1968-10,0.11
1969-10,0.13
1970-10,0.06
1971-10,-0.06
1972-10,0.09
1973-10,0.14
1974-10,-0.08
1975-10,-0.09
1976-10,-0.26
1977-10,0.02
1978-10,0
1979-10,0.24
1980-10,0.18
1981-10,0.14
1982-10,0.13
1983-10,0.16
1984-10,0.16
1985-10,0.11
1986-10,0.13
1987-10,0.32
1988-10,0.4
1989-10,0.32
1990-10,0.41
1991-10,0.3
1992-10,0.09
1993-10,0.22
1994-10,0.41
1995-10,0.47
1996-10,0.19
1997-10,0.62
1998-10,0.44
1999-10,0.39
2000-10,0.28
2001-10,0.51
2002-10,0.55
2003-10,0.74
2004-10,0.63
2005-10,0.76
2006-10,0.67
2007-10,0.57
2008-10,0.63
2009-10,0.63
2010-10,0.69
2011-10,0.63
2012-10,0.75
2013-10,0.67
2014-10,0.81
2015-10,1.07
2016-10,0.89
2017-10,0.88
2018-10,***
1880-11,-0.19
1881-11,-0.21
1882-11,-0.16
1883-11,-0.22
1884-11,-0.29
1885-11,-0.19
1886-11,-0.31
1887-11,-0.23
1888-11,0.01
1889-11,-0.33
1890-11,-0.47
1891-11,-0.34
1892-11,-0.41
1893-11,-0.16
1894-11,-0.25
1895-11,-0.14
1896-11,-0.07
1897-11,-0.19
1898-11,-0.38
1899-11,0.12
1900-11,-0.09
1901-11,-0.17
1902-11,-0.39
1903-11,-0.45
1904-11,-0.21
1905-11,-0.1
1906-11,-0.38
1907-11,-0.48
1908-11,-0.49
1909-11,-0.3
1910-11,-0.53
1911-11,-0.18
1912-11,-0.38
1913-11,-0.18
1914-11,-0.17
1915-11,-0.12
1916-11,-0.39
1917-11,-0.28
1918-11,-0.1
1919-11,-0.4
1920-11,-0.26
1921-11,-0.12
1922-11,-0.13
1923-11,0.02
1924-11,-0.19
1925-11,0.05
1926-11,-0.04
1927-11,-0.02
1928-11,-0.08
1929-11,-0.11
1930-11,0.17
1931-11,-0.11
1932-11,-0.26
1933-11,-0.29
1934-11,0.03
1935-11,-0.28
1936-11,-0.04
1937-11,0.09
1938-11,0.04
1939-11,0.06
1940-11,0.17
1941-11,0.24
1942-11,0.08
1943-11,0.19
1944-11,0.1
1945-11,0.07
1946-11,-0.06
1947-11,0.02
1948-11,-0.12
1949-11,-0.1
1950-11,-0.38
1951-11,-0.02
1952-11,-0.14
1953-11,-0.06
1954-11,0.06
1955-11,-0.24
1956-11,-0.17
1957-11,0.06
